Chord Classification
a#7.wav
C Major
C Major
C Major
C Major
C Major
C Major
C Major
C Major
E Diminished
E Diminished
C Major
C Major
C Major
C Major
E Diminished
E Diminished
C# Diminished
C# Diminished
C Major
C Major
C Major
C Major
E Diminished
E Diminished
E Diminished
E Diminished
E Diminished
E Diminished
C Major
C Major
C Major
C Major
C Major
C Major
E Diminished
E Diminished
C Major
C Major
E Diminished
E Diminished
E Diminished
E Diminished
E Diminished
E Diminished
E Diminished
E Diminished
C# Diminished
C# Diminished
C Major
C Major
C Major
C Major
E Diminished
E Diminished
E Diminished
E Diminished
C Major
C Major
C Major
C Major
E Diminished
E Diminished
E Minor
E Minor
C# Diminished
C# Diminished
E Diminished
E Diminished
E Diminished
E Diminished
G Minor
G Minor
C Major
C Major
E Diminished
E Diminished
C# Diminished
C# Diminished
C# Diminished
C# Diminished
C Major
C Major
C Major
C Major
C Major
C Major
C Major
C Major
C Major
C Major
C Major
C Major
D Diminished
D Diminished
C Major
C Major
E Diminished
E Diminished
C Major
C Major
C Major
C Major
G Minor 7th
G Minor 7th
C Major
C Major
C Major
C Major
E Diminished
E Diminished
E Diminished
E Diminished
E Minor
E Minor
C# Diminished
C# Diminished
G Major
G Major
G Minor
G Minor
C# Diminished
C# Diminished
D Diminished
D Diminished
D Diminished
D Diminished
G Minor
G Minor
D Diminished
D Diminished
E Diminished
E Diminished
E Diminished
E Diminished
C Major
C Major
E Diminished
E Diminished
E Diminished
E Diminished
C Major
C Major
C Major
C Major
C Major
C Major
C Major
C Major
E Diminished
E Diminished
C# Diminished
C# Diminished
C Major
C Major
C Major
C Major
C Major
C Major
C Major
C Major
C# Diminished
C# Diminished
C Major
C Major
C# Diminished
C# Diminished
E Diminished
E Diminished
C Major
C Major
E Diminished
E Diminished
C Major
C Major
C Major
C Major
C Major
C Major
E Diminished
E Diminished
E Diminished
E Diminished
E Diminished
E Diminished
E Diminished
E Diminished

a#hdim.wav
D Augmented
D Augmented
E Diminished
E Diminished
C# Minor
C# Minor
E Diminished
E Diminished
D Diminished
D Diminished
G Minor
G Minor
Bb Minor
Bb Minor
Bb Minor 7th
Bb Minor 7th
C# Major
C# Major
C# Major
C# Major
G Diminished
G Diminished
G Diminished
G Diminished
Bb Minor
Bb Minor
C# Major
C# Major
Bb Minor
Bb Minor
Bb Minor
Bb Minor
Bb Minor
Bb Minor
D Diminished
D Diminished
C# Major
C# Major
Bb Minor 7th
Bb Minor 7th
Bb Dominant 7th
Bb Dominant 7th
Bb Minor 7th
Bb Minor 7th
C# Major
C# Major
C# Major
C# Major
Bb Minor
Bb Minor
C# Major
C# Major
E Diminished
E Diminished
C# Minor
C# Minor
C Augmented
C Augmented
Bb Diminished
Bb Diminished
C# Minor
C# Minor
G Diminished
G Diminished
C# Major
C# Major
Bb Minor
Bb Minor
Bb Minor
Bb Minor
C# Major
C# Major
E Diminished
E Diminished
C# Minor
C# Minor
C# Minor
C# Minor
C# Major
C# Major
E Diminished
E Diminished
C# Minor
C# Minor
Bb Diminished
Bb Diminished
C# Minor
C# Minor
G Diminished
G Diminished
E Diminished
E Diminished
E Diminished
E Diminished
C# Minor
C# Minor
Bb Diminished
Bb Diminished
C# Minor
C# Minor
C# Major
C# Major
C# Major
C# Major
C# Major
C# Major
Bb Diminished
Bb Diminished
F# Major
F# Major
C# Minor
C# Minor
C# Minor
C# Minor
C# Diminished
C# Diminished
G Minor
G Minor
C# Minor
C# Minor
C# Minor
C# Minor
C# Minor
C# Minor
C# Minor
C# Minor
Bb Diminished
Bb Diminished
G Diminished
G Diminished
Bb Diminished
Bb Diminished
Bb Minor
Bb Minor
C# Major
C# Major
C# Major
C# Major
C# Major
C# Major
E Diminished
E Diminished
E Diminished
E Diminished
E Diminished
E Diminished
Bb Diminished
Bb Diminished
C# Major
C# Major
Bb Major
Bb Major
C# Major
C# Major
Bb Minor
Bb Minor
C# Major
C# Major
C# Major
C# Major
Bb Minor
Bb Minor
C# Major
C# Major
C# Minor
C# Minor
C# Minor
C# Minor
F Minor
F Minor
E Diminished
E Diminished
E Diminished
E Diminished
Bb Major
Bb Major

a#maj.wav
D Diminished
D Diminished
F Minor
F Minor
F Minor
F Minor
F Minor
F Minor
E Diminished
E Diminished
C# Major
C# Major
C# Major
C# Major
Bb Minor
Bb Minor
E Diminished
E Diminished
E Diminished
E Diminished
E Diminished
E Diminished
E Diminished
E Diminished
E Diminished
E Diminished
E Diminished
E Diminished
Bb Major
Bb Major
E Diminished
E Diminished
F Minor
F Minor
C# Major
C# Major
C# Major
C# Major
C# Major
C# Major
C# Major
C# Major
Bb Minor
Bb Minor
Bb Minor
Bb Minor
Bb Minor
Bb Minor
E Diminished
E Diminished
E Diminished
E Diminished
C# Major
C# Major
C# Major
C# Major
C# Diminished
C# Diminished
C# Augmented
C# Augmented
C# Major
C# Major
C# Major
C# Major
Bb Minor
Bb Minor
Bb Minor
Bb Minor
Bb Minor
Bb Minor
E Diminished
E Diminished
C# Major
C# Major
E Diminished
E Diminished
Bb Minor
Bb Minor
E Diminished
E Diminished
E Diminished
E Diminished
E Diminished
E Diminished
Bb Minor
Bb Minor
Bb Minor
Bb Minor
Bb Minor
Bb Minor
Bb Minor
Bb Minor
E Diminished
E Diminished
E Diminished
E Diminished
E Diminished
E Diminished
Bb Major
Bb Major
Bb Minor
Bb Minor
Bb Minor
Bb Minor
C# Major
C# Major
Bb Minor
Bb Minor
Bb Minor
Bb Minor
Bb Minor
Bb Minor
E Diminished
E Diminished
F Minor
F Minor
Bb Minor
Bb Minor
E Diminished
E Diminished
E Diminished
E Diminished
Bb Minor
Bb Minor
E Diminished
E Diminished
Bb Minor
Bb Minor
Bb Minor
Bb Minor
Bb Minor
Bb Minor
F Diminished
F Diminished
C# Major
C# Major
F Minor
F Minor
C# Major
C# Major
F Minor
F Minor
F Minor
F Minor
C# Major
C# Major
D Diminished
D Diminished
E Diminished
E Diminished
E Diminished
E Diminished
E Diminished
E Diminished
E Diminished
E Diminished
E Diminished
E Diminished
F Minor
F Minor
F Minor
F Minor
E Diminished
E Diminished
E Diminished
E Diminished
E Diminished
E Diminished
F Minor
F Minor
Bb Minor
Bb Minor
F Minor
F Minor
C# Augmented
C# Augmented
F Major
F Major
D Minor
D Minor
C# Augmented
C# Augmented
E Diminished
E Diminished
F Minor
F Minor
E Diminished
E Diminished
E Diminished
E Diminished
E Diminished
E Diminished

a#maj7.wav
E Diminished
E Diminished
E Diminished
E Diminished
E Diminished
E Diminished
F Major
F Major
