Chord Classification
a#7.wav
Bb Major
Bb Major
Bb Major
D Minor
D Minor
D Minor
D Minor
D Minor
D Minor
A Diminished
A Diminished
A Diminished
A Diminished
A Diminished
A Diminished
D Minor
D Minor
D Minor
D Diminished
D Diminished
D Diminished
D Minor
D Minor
D Minor
Bb Major
Bb Major
Bb Major
A Diminished
A Diminished
A Diminished
Bb Major
Bb Major
Bb Major
D Minor
D Minor
D Minor
D Minor
D Minor
D Minor
D Minor
D Minor
D Minor
D Minor
D Minor
D Minor
D Diminished
D Diminished
D Diminished
D Diminished
D Diminished
D Diminished
A Diminished
A Diminished
A Diminished
A Diminished
A Diminished
A Diminished
A Diminished
A Diminished
A Diminished
A Diminished
A Diminished
A Diminished
A Diminished
A Diminished
A Diminished
D Diminished
D Diminished
D Diminished
Bb Major
Bb Major
Bb Major
D Minor
D Minor
D Minor
F Major
F Major
F Major
D Minor
D Minor
D Minor
D Minor
D Minor
D Minor
D Minor
D Minor
D Minor
D Minor
D Minor
D Minor
Bb Major
Bb Major
Bb Major
D Minor
D Minor
D Minor
D Minor
D Minor
D Minor
A Diminished
A Diminished
A Diminished
A Diminished
A Diminished
A Diminished
A Diminished
A Diminished
A Diminished
F Major
F Major
F Major
F Major
F Major
F Major
F Major
F Major
F Major
F Major
F Major
F Major
D Minor
D Minor
D Minor
D Minor
D Minor
D Minor
A Diminished
A Diminished
A Diminished
A Diminished
A Diminished
A Diminished
A Diminished
A Diminished
A Diminished
D Diminished
D Diminished
D Diminished
D Minor
D Minor
D Minor
D Minor
D Minor
D Minor
D Minor
D Minor
D Minor
A Diminished
A Diminished
A Diminished
D Minor
D Minor
D Minor
D Minor
D Minor
D Minor
D Minor
D Minor
D Minor
D Minor
D Minor
D Minor
D Diminished
D Diminished
D Diminished
D Minor
D Minor
D Minor
A Diminished
A Diminished
A Diminished
A Diminished
A Diminished
A Diminished
A Diminished
A Diminished
A Diminished
A Diminished
A Diminished
A Diminished
A Diminished
A Diminished
A Diminished
A Diminished
A Diminished
A Diminished
D Minor
D Minor
D Minor
D Minor
D Minor
D Minor
D Minor
D Minor
D Minor
D Minor
D Minor
D Minor
A Diminished
A Diminished
A Diminished
Bb Major
Bb Major
Bb Major
Bb Major
Bb Major
Bb Major
D Minor
D Minor
D Minor
D Minor
D Minor
D Minor
D Minor
D Minor
D Minor
Eb Diminished
Eb Diminished
Eb Diminished
Eb Major
Eb Major
Eb Major
D Minor
D Minor
D Minor
D Minor
D Minor
D Minor
A Diminished
A Diminished
